Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Tensei shitara Slime Datta Ken 2nd Season Part 2\That Time I Got Reincarnated as a Slime Season 2 Part 2,8.31,12, 8bit, Manga, Summer 2021,512231,9223,341,228
Rurouni Kenshin: Meiji Kenkaku Romantan\Rurouni Kenshin,8.3,94," Gallop, Studio Deen", Manga, Winter 1996,443693,9374,401,229
Sasaki to Miyano\Sasaki and Miyano,8.3,12, Studio Deen, Manga, Winter 2022,103939,2440,1662,230
Shirobako,8.3,24, P.A. Works, Original, Fall 2014,403897,6061,441,231
Steins;Gate: Oukoubakko no Poriomania\Steins;Gate: Egoistic Poriomania,8.3,1, White Fox, Visual novel,TBD,394175,754,455,232
Beck\Beck: Mongolian Chop Squad,8.3,26, Madhouse, Manga, Fall 2004,299735,7548,630,233
Detective Conan Movie 06: The Phantom of Baker Street\Case Closed: The Phantom of Baker Street,8.3,1, TMS Entertainment, Manga,TBD,68608,209,2177,234
Diamond no Ace: Second Season\Ace of Diamond: Second Season,8.3,51," Production I.G, Madhouse", Manga, Spring 2015,120350,972,1466,235
Dr. Stone,8.3,24, TMS Entertainment, Manga, Summer 2019,1400565,23210,60,236
Fate/Zero,8.3,13, ufotable, Light novel, Fall 2011,1332077,31744,69,237
Hibike! Euphonium 2\Sound! Euphonium 2,8.3,13, Kyoto Animation, Novel, Fall 2016,197626,3017,969,238
Initial D First Stage,8.3,26," Gallop, Studio Comet", Manga, Spring 1998,299611,9120,631,239
"Kino no Tabi: The Beautiful World\Kinos Journey""",8.3,13, A.C.G.T., Light novel, Spring 2003,268756,6086,717,240
"Ashita no Joe\Tomorrows Joe""",8.29,79, Mushi Production, Manga, Spring 1970,74092,1615,2065,241
Gintama: Shinyaku Benizakura-hen,8.29,1, Sunrise, Manga,TBD,38098,47,3034,242
Nodame Cantabile,8.29,23, J.C.Staff, Manga, Winter 2007,289877,4799,651,243
Redline,8.29,1, Madhouse, Original,TBD,319340,4653,580,244
Tsubasa: Tokyo Revelations\Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,8.29,3, Production I.G, Manga,TBD,88701,812,1849,245
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai\Rascal Does Not Dream of Bunny Girl Senpai,8.28,13, CloverWorks, Light novel, Fall 2018,1419645,40681,58,246
Stranger: Mukou Hadan\Sword of the Stranger,8.28,1, Bones, Original,TBD,298884,2760,632,247
Tokyo Godfathers,8.28,1, Madhouse, Original,TBD,245621,2064,788,248
Bakemono no Ko\The Boy and the Beast,8.28,1, Studio Chizu, Original,TBD,371651,2879,486,249
Gin no Saji 2nd Season\Silver Spoon 2nd Season,8.28,11, A-1 Pictures, Manga, Winter 2014,133401,612,1369,250
Gyakkyou Burai Kaiji: Ultimate Survivor\Kaiji: Ultimate Survivor,8.28,26, Madhouse, Manga, Fall 2007,305829,8851,611,251
"Kono Subarashii Sekai ni Shukufuku wo! 2\KonoSuba: Gods Blessing on This Wonderful World! 2""",8.28,10, Studio Deen, Light novel, Winter 2017,1285365,11148,75,252
Koukaku Kidoutai\Ghost in the Shell,8.28,1, Production I.G, Manga,TBD,545026,10967,322,253
Great Pretender,8.27,23, Wit Studio, Original, Summer 2020,511812,8103,344,254
Hajime no Ippo: Champion Road\Fighting Spirit: Champion Road,8.27,1, Madhouse, Manga,TBD,113620,181,1539,255
Planetes,8.27,26, Sunrise, Manga, Fall 2003,222763,3629,861,256
Tenkuu no Shiro Laputa\Castle in the Sky,8.27,1, Studio Ghibli, Original,TBD,412374,3522,431,257
Yuru Camp\Laid-Back Camp,8.27,12, C-Station, Manga, Winter 2018,405997,8952,439,258
Non Non Biyori Movie: Vacation,8.26,1, SILVER LINK., Manga,TBD,65363,182,2244,259
SpaceDandy 2nd Season\Space Dandy 2nd Season,8.26,13, Bones, Original, Summer 2014,149295,1649,1256,260
Tonari no Totoro\My Neighbor Totoro,8.26,1, Studio Ghibli, Original,TBD,904970,6963,133,261
Wu Liuqi Zhi Zui Qiang Fa Xing Shi\Scissor Seven,8.26,10," None found, add some", Original,TBD,44351,395,2770,262
Hunter x Hunter: Greed Island Final,8.26,14, Nippon Animation, Manga,TBD,128999,225,1404,263
Initial D Final Stage,8.26,4, SynergySP, Manga, Spring 2014,112627,719,1552,264
Danshi Koukousei no Nichijou\Daily Lives of High School Boys,8.25,12, Sunrise, Web manga, Winter 2012,721383,12800,204,265
Diamond no Ace: Act II\Ace of Diamond Act II,8.25,52, Madhouse, Manga, Spring 2019,73364,789,2079,266
Douluo Dalu: Xiaowu Juebie,8.25,13, Sparkly Key Animation Studio, Novel,TBD,8419,104,5906,267
Gyakkyou Burai Kaiji: Hakairoku-hen\Kaiji: Against All Rules,8.25,26, Madhouse, Manga, Spring 2011,169016,2392,1115,268
Kuroshitsuji Movie: Book of the Atlantic\Black Butler: Book of the Atlantic,8.25,1, A-1 Pictures, Manga,TBD,167421,1246,1129,269
Nodame Cantabile: Finale,8.25,11, J.C.Staff, Manga, Winter 2010,120384,395,1465,270
"Quanzhi Gaoshou Specials\The Kings Avatar (2018)""",8.25,3," Tencent Animation & Comics, China Literature Limited, Colored Pencil Animation", Novel,TBD,93445,337,1786,271
Re:Zero kara Hajimeru Isekai Seikatsu\Re:ZERO -Starting Life in Another World-,8.25,25, White Fox, Light novel, Spring 2016,1886615,60059,23,272
Sennen Joyuu\Millennium Actress,8.25,1, Madhouse, Original,TBD,153644,2135,1226,273
Youjo Senki Movie\Saga of Tanya the Evil: The Movie,8.25,1, Nut, Light novel,TBD,221430,874,868,274
Naruto: Shippuuden\Naruto: Shippuden,8.24,500, Studio Pierrot, Manga, Winter 2007,2066160,94788,16,275
One Piece Movie 14: Stampede,8.24,1, Toei Animation, Manga,TBD,128851,546,1406,276
Ookami to Koushinryou\Spice and Wolf,8.24,13, Imagin, Light novel, Winter 2008,732719,16789,197,277
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.24,1, White Fox, Visual novel,TBD,222935,356,857,278
Major S3,8.24,26, Studio Hibari, Manga, Winter 2007,63187,341,2289,279
86,8.23,11, A-1 Pictures, Light novel, Spring 2021,495318,10227,354,280
Detective Conan: Episode One - The Great Detective Turned Small,8.23,1, TMS Entertainment, Manga,TBD,26548,51,3652,281
Dororo,8.23,24," Tezuka Productions, MAPPA", Manga, Winter 2019,977798,16022,121,282
Golden Kamuy 2nd Season\Golden Kamuy: Season 2,8.23,12, Geno Studio, Manga, Fall 2018,156301,783,1211,283
Hachimitsu to Clover II\Honey and Clover II,8.23,12, J.C.Staff, Manga, Summer 2006,99076,938,1723,284
Hajime no Ippo: Mashiba vs. Kimura,8.23,1, Madhouse, Manga,TBD,90772,142,1827,285
"Kuroko no Basket 2nd Season\Kurokos Basketball 2""",8.23,25, Production I.G, Manga, Fall 2013,738421,4109,192,286
Luo Xiao Hei Zhan Ji (Movie)\The Legend of Hei,8.23,1," None found, add some", Original,TBD,14915,210,4681,287
Magi: The Kingdom of Magic,8.23,25, A-1 Pictures, Manga, Fall 2013,753470,7276,182,288
Major S1,8.23,26, Studio Hibari, Manga, Fall 2004,91357,1315,1813,289
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,8.23,25, Sunrise, Original, Fall 2016,118644,1376,1479,290
No Game No Life: Zero,8.23,1, Madhouse, Light novel,TBD,754479,7103,181,291
SKET Dance,8.23,77, Tatsunoko Production, Manga, Spring 2011,207402,3078,926,292
Stand By Me Doraemon 2,8.23,1," Shirogumi, Shin-Ei Animation", Manga,TBD,14641,87,4712,293
xxxHOLiC: Kei,8.23,13, Production I.G, Manga, Spring 2008,129131,546,1403,294
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku\My Teen Romantic Comedy SNAFU TOO!,8.23,13, feel., Light novel, Spring 2015,915447,15218,130,295
Yuukoku no Moriarty 2nd Season\Moriarty the Patriot,8.23,13, Production I.G, Manga, Spring 2021,177058,2315,1061,296
Mimi wo Sumaseba\Whisper of the Heart,8.22,1, Studio Ghibli, Manga,TBD,292447,3819,643,297
Trigun,8.22,26, Madhouse, Manga, Spring 1998,647975,13004,238,298
Detective Conan Movie 13: The Raven Chaser\Detective Conan: The Jet Black Chaser,8.22,1, Tokyo Movie Shinsha, Manga,TBD,52735,62,2531,299
Fruits Basket 1st Season\Fruits Basket 2019 1st Season,8.22,25, TMS Entertainment, Manga, Spring 2019,643450,12176,240,300
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.22,4, Production I.G, Novel,TBD,19475,70,4187,301
Kono Sekai no Katasumi ni\In This Corner of the World,8.22,1, MAPPA, Manga,TBD,159944,1277,1187,302
Mahou Shoujo MadokaMagica Movie 1: Hajimari no Monogatari\Puella Magi Madoka Magica the Movie Part 1: Beginnings,8.22,1, Shaft, Original,TBD,180302,874,1041,303
"Majo no Takkyuubin\Kikis Delivery Service""",8.22,1, Studio Ghibli, Novel,TBD,481447,4332,362,304
Bungou Stray Dogs 3rd Season,8.21,12, Bones, Manga, Spring 2019,476329,4028,366,305
Horimiya,8.21,13, CloverWorks, Manga, Winter 2021,978161,25410,119,306
Kaguya-hime no Monogatari\The Tale of the Princess Kaguya,8.21,1, Studio Ghibli, Other,TBD,189044,2026,1005,307
Major S2,8.21,26, Studio Hibari, Manga, Winter 2006,65596,296,2238,308
Major S4,8.21,26, SynergySP, Manga, Winter 2008,59760,193,2364,309
Nomad: Megalo Box 2,8.21,13, TMS Entertainment, Original, Spring 2021,164057,1618,1155,310
ReLIFE: Kanketsu-hen,8.21,4, TMS Entertainment, Web manga,TBD,321747,1479,576,311
Saiki Kusuo no -nan: Kanketsu-hen\The Disastrous Life of Saiki K. Final Arc,8.21,1," J.C.Staff, Egg Firm", Manga,TBD,175546,321,1068,312
xxxHOLiC: Rou,8.21,2, Production I.G, Manga,TBD,63364,174,2283,313
One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.2,1, Toei Animation, Manga,TBD,52470,69,2538,314
Toaru Kagaku no Railgun T\A Certain Scientific Railgun T,8.2,25, J.C.Staff, Manga, Winter 2020,192459,3001,988,315
Vanitas no Karte Part 2\The Case Study of Vanitas,8.2,12, Bones, Manga, Winter 2022,152621,1459,1234,316
"Yoru wa Mijikashi Arukeyo Otome\The Night Is Short, Walk on Girl",8.2,1, Science SARU, Novel,TBD,102580,1406,1679,317
Bakuman.,8.2,25, J.C.Staff, Manga, Fall 2010,563302,8962,303,318
Berserk: Ougon Jidai-hen III - Kourin\Berserk: The Golden Age Arc III - The Advent,8.2,1, Studio 4C, Manga,TBD,189776,1349,1000,319
Bungou Stray Dogs 2nd Season\Bungo Stray Dogs 2,8.2,12, Bones, Manga, Fall 2016,684970,6003,225,320
Cardcaptor Sakura Movie 2: Fuuin Sareta Card\Card Captor Sakura Movie 2: The Sealed Card,8.2,1, Madhouse, Manga,TBD,105465,407,1641,321
Chihayafuru,8.2,25, Madhouse, Manga, Fall 2011,409413,7163,434,322
"Fate/stay night Movie: Heavens Feel - I. Presage Flower\Fate/stay night: Heavens Feel - I. Presage Flower""",8.2,1, ufotable, Visual novel,TBD,378389,2286,475,323
IDOLiSH7: Third Beat!\IDOLISH7 Third BEAT!,8.2,13, TROYCA, Game, Summer 2021,14677,265,4709,324
InuYasha: Kanketsu-hen\InuYasha: The Final Act,8.2,26, Sunrise, Manga, Fall 2009,250313,1974,769,325
Little Busters!: Refrain\Little Busters! ~Refrain~,8.2,13, J.C.Staff, Visual novel, Fall 2013,151910,2006,1239,326
Maison Ikkoku,8.2,96, Studio Deen, Manga, Spring 1986,61178,1432,2329,327
Asobi Asobase\Asobi Asobase: Workshop of Fun,8.19,12, Lerche, Manga, Summer 2018,390360,5217,458,328
Ballroom e Youkoso\Welcome to the Ballroom,8.19,24, Production I.G, Manga, Summer 2017,285025,3067,671,329
Fate/stay night: Unlimited Blade Works\Fate/stay night [Unlimited Blade Works],8.19,12, ufotable, Visual novel, Fall 2014,927854,14834,126,330
Girls & Panzer Movie\Girls und Panzer der Film,8.19,1, Actas, Original,TBD,92663,1216,1798,331
Girls & Panzer: Saishuushou Part 3\Girls und Panzer das Finale  Part 3,8.19,1, Actas, Original,TBD,16486,72,4511,332
Higurashi no Naku Koro ni Kai\When They Cry: Kai,8.19,24, Studio Deen, Visual novel, Summer 2007,438141,6823,406,333
Hunter x Hunter: Greed Island,8.19,8, Nippon Animation, Manga,TBD,137681,264,1342,334
Kamisama Hajimemashita\Kamisama Kiss Season 2,8.19,12, TMS Entertainment, Manga, Winter 2015,330223,2226,553,335
Liz to Aoi Tori\Liz and the Blue Bird,8.19,1, Kyoto Animation, Novel,TBD,110973,2003,1572,336
Non Non Biyori Repeat,8.19,12, SILVER LINK., Manga, Summer 2015,179470,1251,1048,337
Senki Zesshou Symphogear XV\Symphogear XV,8.19,13, Satelight, Original, Summer 2019,33553,745,3250,338
Shokugeki no Souma\Food Wars! Shokugeki no Soma,8.19,24, J.C.Staff, Manga, Spring 2015,1454017,22729,53,339
"Shoujo Shuumatsu Ryokou\Girls Last Tour""",8.19,12, White Fox, Web manga, Fall 2017,283421,5416,675,340
Shoujo Kakumei Utena\Revolutionary Girl Utena,8.18,39, J.C.Staff, Original, Spring 1997,185375,6940,1017,341
Tanoshii Muumin Ikka,8.18,78, Telescreen, Book, Spring 1990,22171,532,3965,342
Aria the Natural,8.18,26, Hal Film Maker, Manga, Spring 2006,71567,761,2118,343
Black Lagoon: The Second Barrage,8.18,12, Madhouse, Manga, Fall 2006,448420,2692,392,344
Dr. Stone: Stone Wars,8.18,11, TMS Entertainment, Manga, Winter 2021,788158,6425,167,345
Eiga Daisuki Pompo-san (Movie)\Pompo: The Cinphile,8.18,1, CLAP, Web manga,TBD,14453,124,4741,346
Boku no Hero Academia 2nd Season\My Hero Academia 2,8.17,25, Bones, Manga, Spring 2017,2162419,17097,14,347
Death Parade,8.17,12, Madhouse, Original, Winter 2015,1521564,25141,49,348
Detective Conan Movie 20: The Darkest Nightmare,8.17,1, TMS Entertainment, Manga,TBD,35094,86,3168,349
Digimon Adventure: Last Evolution Kizuna,8.17,1, Yumeta Company, Original,TBD,34110,217,3216,350
K-On!!\K-ON! Season 2,8.17,26, Kyoto Animation, 4-koma manga, Spring 2010,611640,13311,264,351
"Kyoukai no Kanata Movie 2: Ill Be Here - Mirai-hen\Beyond the Boundary: Ill Be Here - Future""",8.17,1, Kyoto Animation, Light novel,TBD,230596,984,829,352
Major: Message,8.17,1, SynergySP, Manga,TBD,27909,55,3557,353
Noragami Aragoto,8.17,13, Bones, Manga, Fall 2015,1286369,10998,74,354
Ouran Koukou Host Club\Ouran High School Host Clu,8.17,26, Bones, Manga, Spring 2006,994629,30443,115,355
Ramayana: The Legend of Prince Rama,8.17,1, Nippon Ramayana Film Co., Other,TBD,5916,93,6788,356
Working!!!: Lord of the Takanashi,8.17,1, A-1 Pictures, 4-koma manga,TBD,94153,202,1779,357
Nisemonogatari,8.16,11, Shaft, Light novel, Winter 2012,668024,3753,230,358
One Piece Film: Z\One Piece Film Z,8.16,1, Toei Animation, Manga,TBD,225744,498,847,359
"Tengen Toppa Gurren Lagann Movie 1: Gurren-hen\Gurren Lagann The Movie: Childhoods End""",8.16,1, Gainax, Original,TBD,147105,361,1271,360
Tokyo Revengers,8.16,24, LIDENFILMS, Manga, Spring 2021,885453,21891,141,361
Akira,8.16,1, Tokyo Movie Shinsha, Manga,TBD,710234,11090,211,362
Detective Conan\Case Closed,8.16,0, TMS Entertainment, Manga, Winter 1996,302943,12280,617,363
Douluo Dalu: Hanhai Qian Kun,8.16,13, Sparkly Key Animation Studio, Novel,TBD,4713,19,7446,364
Douluo Dalu: Xingdou Xian Ji Pian,8.16,13, Sparkly Key Animation Studio, Novel,TBD,5180,29,7120,365
Given Movie,8.16,1, Lerche, Manga,TBD,178613,1351,1052,366
Given: Uragawa no Sonzai,8.16,1, Lerche, Manga,TBD,57198,634,2439,367
Hinamatsuri (TV)\Hinamatsuri,8.16,12, feel., Manga, Spring 2018,434913,3882,409,368
Cardcaptor Sakura,8.15,70, Madhouse, Manga, Spring 1998,387083,11529,461,369
Dragon Ball Z,8.15,291, Toei Animation, Manga, Spring 1989,1077402,32262,100,370
Gankutsuou\Gankutsuou: The Count of Monte Cristo,8.15,24, Gonzo, Novel, Fall 2004,222932,3566,858,371
Haikyuu!! Movie 4: Concept no Tatakai,8.15,1, Production I.G, Manga,TBD,62322,63,2303,372
Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,8.15,1, A-1 Pictures, Manga,TBD,32436,50,3305,373
Kaiba,8.15,12, Madhouse, Original, Spring 2008,132745,3195,1376,374
Lupin III: Cagliostro no Shiro\Lupin III: The Castle of Cagliostro,8.15,1, Tokyo Movie Shinsha, Manga,TBD,101248,1128,1697,375
Lupin III: Part 5\Lupin the Third Part 5,8.15,24, Telecom Animation Film, Manga, Spring 2018,37669,333,3051,376
Mo Dao Zu Shi Q\The Founder of Diabolism Q,8.15,30, B.CMAY PICTURES, Novel,TBD,17977,185,4352,377
Nodame Cantabile: Paris-hen,8.15,11, J.C.Staff, Manga, Fall 2008,116281,274,1508,378
Seirei no Moribito\Moribito - Guardian of the Spirit,8.15,26, Production I.G, Novel, Spring 2007,198792,2538,964,379
Toki wo Kakeru Shoujo\The Girl Who Leapt Through Time,8.14,1, Madhouse, Novel,TBD,713273,5425,208,380
Yuukoku no Moriarty\Moriarty the Patriot,8.14,11, Production I.G, Manga, Fall 2020,306801,4659,607,381
Eizouken ni wa Te wo Dasu na!\Keep Your Hands Off Eizouken!,8.14,12, Science SARU, Manga, Winter 2020,284522,3318,673,382
IDOLiSH7: Second Beat!\IDOLiSH7 Second BEAT!,8.14,15, TROYCA, Game, Spring 2020,23454,319,3856,383
Initial D Fourth Stage,8.14,24, A.C.G.T., Manga, Spring 2004,149363,1111,1253,384
Initial D Second Stage,8.14,13, Pastel, Manga, Fall 1999,173478,808,1082,385
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.14,1, Toei Animation, Music,TBD,65728,820,2236,386
"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",8.14,1, TMS Entertainment, Manga,TBD,53696,157,2517,387
Katekyo Hitman Reborn!\Reborn!,8.14,203, Artland, Manga, Fall 2006,513825,15258,339,388
"Made in Abyss Movie 1: Tabidachi no Yoake\Made in Abyss: Journeys Dawn""",8.14,1, Kinema Citrus, Web manga,TBD,88065,141,1859,389
"Mahou Shoujo Lyrical Nanoha: The Movie 2nd As\Magical Girl Lyrical Nanoha: The Movie 2nd As""",8.14,1, Seven Arcs, Original,TBD,22061,188,3974,390
5-toubun no Hanayome \The Quintessential Quintuplets 2,8.13,12, Bibury Animation Studios, Manga, Winter 2021,542810,10230,324,391
"Chuunibyou demo Koi ga Shitai! Movie: Take On Me\Love, Chunibyo & Other Delusions!: Take On Me",8.13,1, Kyoto Animation, Light novel,TBD,223286,1396,853,392
Douluo Dalu: Haishen Zhi Guang,8.13,13, Sparkly Key Animation Studio, Novel,TBD,4750,39,7427,393
Douluo Dalu: Qian Hua Xi Jin,8.13,13, Sparkly Key Animation Studio, Novel,TBD,6986,39,6345,394
Dragon Ball Super: Broly,8.13,1, Toei Animation, Manga,TBD,306307,2186,608,395
Durarara!!,8.13,24,Studios: Brains Base, Light novel, Winter 2010,1274785,28923,78,396
Ginga Eiyuu Densetsu Gaiden,8.13,24," Artland, Shaft, Mushi Production, Magic Bus", Novel,TBD,21173,61,4046,397
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season\Ascendance of a Bookworm Part 2,8.13,12, Ajia-Do, Light novel, Spring 2020,146925,648,1272,398
"Kono Subarashii Sekai ni Shukufuku wo!\KonoSuba: Gods Blessing on This Wonderful World!""",8.13,10, Studio Deen, Light novel, Winter 2016,1662797,39863,37,399
One Piece: Episode of Nami - Koukaishi no Namida to Nakama no Kizuna,8.13,1, Toei Animation, Manga,TBD,60407,77,2348,400
Tensei shitara Slime Datta Ken\That Time I Got Reincarnated as a Slime,8.13,24, 8bit, Manga, Fall 2018,1129998,22555,90,401
Tonikaku Kawaii: SNS,8.13,1, Seven Arcs, Manga,TBD,100387,658,1712,402
Mobile Suit Gundam 00,8.12,25, Sunrise, Original, Fall 2007,201702,4231,952,403
Mobile Suit Gundam Unicorn,8.12,7, Sunrise, Novel,TBD,87831,1430,1861,404
Natsume Yuujinchou: Ishi Okoshi to Ayashiki Raihousha,8.12,1, Shuka, Manga,TBD,26608,93,3649,405
One Piece Film: Strong World\One Piece Film Strong World,8.12,1, Toei Animation, Manga,TBD,208899,392,917,406
Princess Tutu,8.12,38, Hal Film Maker, Original, Summer 2002,148489,4377,1261,407
"Quanzhi Gaoshou Zhi Dianfeng Rongyao\The Kings Avatar: For the Glory""",8.12,1, Colored Pencil Animation, Novel,TBD,40441,111,2924,408
Sakura-sou no Pet na Kanojo\The Pet Girl of Sakurasou,8.12,24, J.C.Staff, Light novel, Fall 2012,1116084,25474,91,409
Shokugeki no Souma: Ni no Sara\Food Wars! The Second Plate,8.12,13, J.C.Staff, Manga, Summer 2016,1003526,2991,114,410
Toradora!,8.12,25, J.C.Staff, Light novel, Fall 2008,1941159,52531,18,411
Detective Conan Movie 05: Countdown to Heaven\Case Closed Movie 5: Countdown to Heaven,8.12,1, TMS Entertainment, Manga,TBD,56168,48,2458,412
Detective Conan Movie 14: The Lost Ship in the Sky,8.12,1, Tokyo Movie Shinsha, Manga,TBD,49983,45,2612,413
Detroit Metal City\Detroit Metal City: The Animated Series,8.12,12, Studio 4C, Manga,TBD,193980,3079,981,414
Fullmetal Alchemist,8.12,51, Bones, Manga, Fall 2003,1335389,24398,68,415
Koukaku Kidoutai: Stand Alone Complex - Solid State Society\Ghost in the Shell: Stand Alone Complex - Solid State Society,8.12,1, Production I.G, Manga,TBD,92289,226,1803,416
Kuragehime\Princess Jellyfish,8.12,11,Studios: Brains Base, Manga, Fall 2010,210147,4076,912,417
"Mahoutsukai no Yome: Hoshi Matsu Hito\The Ancient Magus Bride: Those Awaiting a Star""",8.12,3, Wit Studio, Manga,TBD,249455,648,772,418
Baccano! Specials,8.11,3,Studios: Brains Base, Light novel,TBD,166906,286,1136,419
Black Clover,8.11,170, Studio Pierrot, Manga, Fall 2017,1303522,35551,73,420
Diamond no Ace\Ace of Diamond,8.11,75," Production I.G, Madhouse", Manga, Fall 2013,215455,4108,890,421
Douluo Dalu: Jingying Sai,8.11,52, Sparkly Key Animation Studio, Novel,TBD,13667,183,4847,422
Ginga Eiyuu Densetsu: Die Neue These - Seiran 2,8.11,4, Production I.G, Novel,TBD,18868,38,4258,423
"Gintama: Futon ni Haitte kara Buki Nokoshi ni Kizuite Neru ni Nerenai Toki mo Aru""",8.11,1, Sunrise, Manga,TBD,35922,64,3117,424
Gintama: Umai-mono wa Atomawashi ni Suru to Yokodorisareru kara Yappari Saki ni Kue,8.11,1, Bandai Namco Pictures, Manga,TBD,30139,32,3421,425
Mobile Suit Gundam: The Origin - Advent of the Red Comet,8.11,13, Sunrise, Manga, Spring 2019,16205,77,4535,426
"No Game No Life\No Game, No Life",8.11,12, Madhouse, Light novel, Spring 2014,2120401,45722,15,427
Saiki Kusuo no -nan: -shidou-hen\The Disastrous Life of Saiki K.: Reawakened,8.11,6," J.C.Staff, Egg Firm", Manga,TBD,178325,393,1053,428
Tamayura: Sotsugyou Shashin Part 4 - Ashita,8.11,1, TYO Animations, Original,TBD,9652,65,5555,429
Tsubasa: Shunraiki\Tsubasa RESERVoir CHRoNiCLE: Spring Thunder Chronicle,8.11,2, Production I.G, Unknown,TBD,58568,250,2393,430
Tsukimonogatari,8.11,4, Shaft, Light novel, Fall 2014,376925,930,479,431
Uchouten Kazoku 2\The Eccentric Family 2,8.11,12, P.A. Works, Novel, Spring 2017,57933,258,2412,432
Zankyou no Terror\Terror in Resonance,8.11,11, MAPPA, Original, Summer 2014,1005893,19746,113,433
Tsuki ga Kirei,8.1,12, feel., Original, Spring 2017,465619,7163,376,434
Ansatsu Kyoushitsu\Assassination Classroom,8.1,22, Lerche, Manga, Winter 2015,1692878,26054,35,435
Boku no Hero Academia 3rd Season\My Hero Academia 3,8.1,25, Bones, Manga, Spring 2018,1854204,12696,25,436
Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture,8.1,1," Magic Bus, Kitty Film Mitaka Studio", Novel,TBD,30291,50,3407,437
Haikyuu!! Movie 3: Sainou to Sense,8.1,1, Production I.G, Manga,TBD,64955,86,2249,438
Hyouka,8.1,22, Kyoto Animation, Novel, Spring 2012,1190666,24352,87,439
"JoJo no Kimyou na Bouken Part 3: Stardust Crusaders\JoJos Bizarre Adventure: Stardust Crusaders""",8.1,24, David Production, Manga, Spring 2014,991512,18244,116,440
Kanata no Astra\Astra Lost in Space,8.1,12, Lerche, Manga, Summer 2019,255551,2729,755,441
Kaze Tachinu\The Wind Rises,8.1,1, Studio Ghibli, Manga,TBD,269679,2509,714,442
Kuroko no Basket: Saikou no Present Desu,8.1,1, Production I.G, Manga,TBD,89344,174,1840,443
Akatsuki no Yona OVA,8.09,3, Studio Pierrot, Manga,TBD,117649,333,1489,444
Gin no Saji\Silver Spoon,8.09,11, A-1 Pictures, Manga, Summer 2013,263378,2630,730,445
Hajime no Ippo: Boxer no Kobushi\Fighting Spirit Special,8.09,1, Madhouse, Manga,TBD,45220,62,2746,446
Karakai Jouzu no Takagi-san 2\Teasing Master Takagi-san,8.09,12, Shin-Ei Animation, Manga, Summer 2019,271911,2280,709,447
Mirai Shounen Conan\Future Boy Conan,8.09,26, Nippon Animation, Novel, Spring 1978,42577,497,2837,448
Mobile Suit Gundam 00 Second Season\Mobile Suit Gundam 00: Second Season,8.09,25, Sunrise, Original, Fall 2008,137920,1290,1340,449
Saint Seiya: The Lost Canvas - Meiou Shinwa 2\Saint Seiya: The Lost Canvas 2,8.09,13, TMS Entertainment, Manga,TBD,67912,304,2196,450
Skip Beat!,8.09,25, Hal Film Maker, Manga, Fall 2008,245676,4877,787,451
World Trigger 2nd Season,8.09,12, Toei Animation, Manga, Winter 2021,113158,683,1547,452
Yuusha-Ou GaoGaiGar Final\GaoGaiGar Final,8.09,8, Sunrise, Unknown,TBD,8825,167,5790,453
Non Non Biyori Nonstop OVA,8.08,1," None found, add some", Manga,TBD,8776,13,5798,454
Stand By Me Doraemon,8.08,1," Shirogumi, Shin-Ei Animation", Manga,TBD,43583,184,2793,455
Yowamushi Pedal: Grande Road,8.08,24, TMS Entertainment, Manga, Fall 2014,123393,477,1450,456
Angel Beats!,8.08,13, P.A. Works, Original, Spring 2010,1874276,45746,24,457
Darker than Black: Kuro no Keiyakusha\Darker than Black,8.08,25, Bones, Original, Spring 2007,854022,15782,149,458
Detective Conan Movie 18: The Sniper from Another Dimension,8.08,1, TMS Entertainment, Manga,TBD,37264,35,3072,459
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,8.08,1, Sunrise, Manga,TBD,51127,66,2570,460
Hidamari Sketch: Sae Hiro Sotsugyou-hen,8.08,2, Shaft, 4-koma manga,TBD,12317,26,5062,461
Hikaru no Go,8.08,75, Studio Pierrot, Manga, Fall 2001,124127,2184,1443,462
Initial D Fifth Stage,8.08,14, SynergySP, Manga, Fall 2012,118264,604,1483,463
"Komi-san wa, Comyushou desu.\Komi Cant Communicate""",8.08,12, OLM, 4-koma manga, Fall 2021,584410,9582,284,464
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man\Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.08,1, Production I.G, Manga,TBD,37362,49,3064,465
