Title,Score,EpisodeCount,Studio,Source,Aired,Members,Favorites,Popularity,Rank
Made in Abyss Movie 3: Fukaki Tamashii no Reimei\Made in Abyss: Dawn of the Deep Soul,8.68,1, Kinema Citrus, Web manga,TBD,313377,2553,587,53
Mononoke Hime\Princess Mononoke,8.68,1, Studio Ghibli, Original,TBD,1074431,18287,101,54
Mushishi\Mushi-Shi,8.67,26, Artland, Manga, Fall 2005,727838,24209,199,55
Shigatsu wa Kimi no Uso\Your Lie in April,8.67,22, A-1 Pictures, Manga, Fall 2014,1893550,77618,22,56
Violet Evergarden,8.66,13, Kyoto Animation, Light novel, Winter 2018,1465476,49550,52,57
Hajime no Ippo: New Challenger\Fighting Spirit: New Challenger,8.66,26, Madhouse, Manga, Winter 2009,237581,1544,808,58
"Howl no Ugoku Shiro\Howls Moving Castle""",8.66,1, Studio Ghibli, Novel,TBD,1101180,22586,97,59
Evangelion: 3.0+1.0 Thrice Upon a Time,8.65,1, Khara, Original,TBD,280023,5186,680,60
Haikyuu!! Second Season\Haikyu!! 2nd Season,8.65,25, Production I.G, Manga, Fall 2015,1212074,14859,83,61
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen\Kaguya-sama: Love Is War Season 2,8.65,12, A-1 Pictures, Manga, Spring 2020,1029923,18490,110,62
"Natsume Yuujinchou Shi\Natsumes Book of Friends Season 4""",8.65,13,Studios: Brains Base, Manga, Winter 2012,220032,1855,874,63
Tengen Toppa Gurren Lagann\Gurren Lagann,8.64,27, Gainax, Original, Spring 2007,1422152,70952,57,64
"Natsume Yuujinchou Roku\Natsumes Book of Friends Season 6""",8.63,11, Shuka, Manga, Spring 2017,161666,976,1176,65
One Piece,8.63,0, Toei Animation, Manga, Fall 1999,1824141,158483,26,66
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai\Rascal Does Not Dream of a Dreaming Girl,8.63,1, CloverWorks, Light novel,TBD,566848,8865,299,67
Death Note,8.63,37, Madhouse, Manga, Fall 2006,3339735,152331,2,68
Ping Pong the Animation,8.62,11, Tatsunoko Production, Manga, Spring 2014,335319,13625,546,69
Shingeki no Kyojin Season 3\Attack on Titan Season 3,8.62,12, Wit Studio, Manga, Summer 2018,1900615,18069,20,70
Suzumiya Haruhi no Shoushitsu\The Disappearance of Haruhi Suzumiya,8.62,1, Kyoto Animation, Light novel,TBD,553519,12422,312,71
Mushishi Zoku Shou: Suzu no Shizuku,8.6,1, Artland, Manga,TBD,113033,191,1548,72
Ookami Kodomo no Ame to Yuki\Wolf Children,8.6,1, Studio Chizu, Original,TBD,724236,10418,202,73
Kizumonogatari II: Nekketsu-hen\Kizumonogatari Part 2: Hot-Blooded,8.59,1, Shaft, Light novel,TBD,384582,2121,464,74
Hajime no Ippo: Rising\Hajime No Ippo: The Fighting!,8.58,25," Madhouse, MAPPA", Manga, Fall 2013,210970,1031,908,75
"JoJo no Kimyou na Bouken Part 5: Ougon no Kaze\JoJos Bizarre Adventure: Golden Wind""",8.58,39, David Production, Manga, Fall 2018,811431,26316,162,76
"Natsume Yuujinchou Go\Natsumes Book of Friends Season 5""",8.58,11, Shuka, Manga, Fall 2016,160946,726,1182,77
"Natsume Yuujinchou San\Natsumes Book of Friends Season 3""",8.58,13,Studios: Brains Base, Manga, Summer 2011,227203,1305,841,78
Shouwa Genroku Rakugo Shinjuu\Showa Genroku Rakugo Shinju,8.58,13, Studio Deen, Manga, Winter 2016,261673,5426,736,79
Yojouhan Shinwa Taikei\The Tatami Galaxy,8.58,11, Madhouse, Novel, Spring 2010,383596,16176,468,80
ShoujoKageki Revue Starlight Movie,8.57,1, Kinema Citrus, Original,TBD,8582,253,5861,81
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen\Gurren Lagann The Movie: The Lights in the Sky are Stars,8.57,1, Gainax, Original,TBD,191585,871,994,82
Fate/Zero 2nd Season\Fate/Zero Season 2,8.57,12, ufotable, Light novel, Spring 2012,986153,19079,117,83
Fruits Basket 2nd Season,8.57,25, TMS Entertainment, Manga, Spring 2020,383677,4890,467,84
Kimi no Suizou wo Tabetai\I want to eat your pancreas,8.57,1, Studio VOLN, Novel,TBD,740041,16511,191,85
Kimetsu no Yaiba\Demon Slayer: Kimetsu no Yaiba,8.56,26, ufotable, Manga, Spring 2019,2349603,77861,9,86
Bakuman. 3rd Season\Bakuman.,8.55,25, J.C.Staff, Manga, Fall 2012,302665,2833,618,87
Mushishi: Hihamukage\The Shadow that Devours the Sun,8.55,1, Artland, Manga,TBD,122764,166,1454,88
Neon Genesis Evangelion: The End of Evangelion,8.55,1," Gainax, Production I.G", Original,TBD,768714,23563,175,89
Yakusoku no Neverland\The Promised Neverland,8.55,12, CloverWorks, Manga, Winter 2019,1644039,30907,39,90
"Zoku Natsume Yuujinchou\Natsumes Book of Friends Season 2""",8.55,13,Studios: Brains Base, Manga, Winter 2009,224450,1354,849,91
Sora yori mo Tooi Basho\A Place Further Than The Universe,8.54,13, Madhouse, Original, Winter 2018,428595,12392,412,92
Yuru Camp Season 2\Laid-Back Camp Season 2,8.54,13, C-Station, Manga, Winter 2021,173624,2450,1081,93
Haikyuu!! To the Top 2nd Season\Haikyu!! To the Top,8.54,12, Production I.G, Manga, Fall 2020,628462,5270,249,94
