b'Fullmetal Alchemist: Brotherhood',9.15,Episodes: 64,,Studios: Bones,Source: Manga,Premiered: Spring 2009,"Members: 2,816,564"
b'Gintama\nGintama Season 4',9.09,Episodes: 51,,Studios: Bandai Namco Pictures,Source: Manga,Premiered: Spring 2015,"Members: 517,844"
b'Steins;Gate',9.09,Episodes: 24,,Studios: White Fox,Source: Visual novel,Premiered: Spring 2011,"Members: 2,187,881"
b'Shingeki no Kyojin Season 3 Part 2\nAttack on Titan Season 3 Part 2',9.08,Episodes: 10,,Studios: Wit Studio,Source: Manga,Premiered: Spring 2019,"Members: 1,759,961"
b'Shingeki no Kyojin: The Final Season Part 2\nAttack on Titan: The Final Season Part 2',9.08,Episodes: 12,,Studios: MAPPA,Source: Manga,Premiered: Winter 2022,"Members: 737,789"
"b""Gintama'\nGintama Season 2""",9.06,Episodes: 51,,Studios: Sunrise,Source: Manga,Premiered: Spring 2011,"Members: 455,731"
b'Gintama: The Final',9.05,Episodes: 1,,Studios: Bandai Namco Pictures,Source: Manga,,"Members: 94,174"
b'Hunter x Hunter (2011)\nHunter x Hunter',9.05,Episodes: 148,,Studios: Madhouse,Source: Manga,Premiered: Fall 2011,"Members: 2,295,434"
b'Fruits Basket: The Final',9.04,Episodes: 13,,Studios: TMS Entertainment,Source: Manga,Premiered: Spring 2021,"Members: 324,431"
"b""Gintama': Enchousen\nGintama: Enchousen""",9.04,Episodes: 13,,Studios: Sunrise,Source: Manga,Premiered: Fall 2012,"Members: 274,197"
b'Ginga Eiyuu Densetsu\nLegend of the Galactic Heroes',9.03,Episodes: 110,,"Studios: K-Factory, Kitty Film Mitaka Studio",Source: Novel,,"Members: 274,038"
b'Gintama.\nGintama Season 5',8.99,Episodes: 12,,Studios: Bandai Namco Pictures,Source: Manga,Premiered: Winter 2017,"Members: 260,706"
b'3-gatsu no Lion 2nd Season\nMarch Comes In Like A Lion 2nd Season',8.96,Episodes: 22,,Studios: Shaft,Source: Manga,Premiered: Fall 2017,"Members: 342,610"
b'Koe no Katachi\nA Silent Voice',8.96,Episodes: 1,,Studios: Kyoto Animation,Source: Manga,,"Members: 1,904,263"
b'Violet Evergarden Movie\nViolet Evergarden the Movie',8.96,Episodes: 1,,Studios: Kyoto Animation,Source: Light novel,,"Members: 408,755"
b'Gintama',8.95,Episodes: 201,,Studios: Sunrise,Source: Manga,Premiered: Spring 2006,"Members: 924,201"
b'Clannad: After Story\nClannad ~After Story~',8.94,Episodes: 24,,Studios: Kyoto Animation,Source: Visual novel,Premiered: Fall 2008,"Members: 1,062,004"
b'Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare',8.93,Episodes: 1,,Studios: Sunrise,Source: Manga,,"Members: 205,269"
b'Code Geass: Hangyaku no Lelouch R2\nCode Geass: Lelouch of the Rebellion R2',8.91,Episodes: 25,,Studios: Sunrise,Source: Original,Premiered: Spring 2008,"Members: 1,534,224"
b'Kimetsu no Yaiba: Yuukaku-hen\nDemon Slayer: Kimetsu no Yaiba Entertainment District Arc',8.90,Episodes: 11,,Studios: ufotable,Source: Manga,Premiered: Winter 2022,"Members: 751,198"
b'Owarimonogatari 2nd Season\nOwarimonogatari Second Season',8.90,Episodes: 7,,Studios: Shaft,Source: Light novel,Premiered: Summer 2017,"Members: 340,272"
b'Gintama.: Shirogane no Tamashii-hen - Kouhan-sen\nGintama.: Silver Soul Arc - Second Half War',8.88,Episodes: 14,,Studios: Bandai Namco Pictures,Source: Manga,Premiered: Summer 2018,"Members: 158,040"
b'Kimi no Na wa.\nYour Name.',8.87,Episodes: 1,,Studios: CoMix Wave Films,Source: Original,,"Members: 2,293,295"
b'Shingeki no Kyojin: The Final Season\nAttack on Titan: The Final Season',8.87,Episodes: 16,,Studios: MAPPA,Source: Manga,Premiered: Winter 2021,"Members: 1,511,955"
b'Monster',8.82,Episodes: 74,,Studios: Madhouse,Source: Manga,Premiered: Spring 2004,"Members: 818,199"
b'Gintama.: Shirogane no Tamashii-hen\nGintama.: Silver Soul Arc',8.82,Episodes: 12,,Studios: Bandai Namco Pictures,Source: Manga,Premiered: Winter 2018,"Members: 171,494"
b'Kizumonogatari III: Reiketsu-hen\nKizumonogatari III: Cold-Blooded',8.81,Episodes: 1,,Studios: Shaft,Source: Light novel,,"Members: 392,348"
b'Mob Psycho 100 II',8.81,Episodes: 13,,Studios: Bones,Source: Web manga,Premiered: Winter 2019,"Members: 1,190,149"
b'Shiguang Dailiren\nLink Click',8.81,Episodes: 11,,Studios: Studio LAN,Source: Original,,"Members: 189,340"
b'Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou\nHaikyu!! 3rd Season',8.80,Episodes: 10,,Studios: Production I.G,Source: Manga,Premiered: Fall 2016,"Members: 1,005,436"
b'Ousama Ranking\nRanking of Kings',8.79,Episodes: 23,,Studios: Wit Studio,Source: Web manga,Premiered: Fall 2021,"Members: 320,087"
b'Sen to Chihiro no Kamikakushi\nSpirited Away',8.79,Episodes: 1,,Studios: Studio Ghibli,Source: Original,,"Members: 1,570,103"
b'Monogatari Series: Second Season',8.78,Episodes: 26,,Studios: Shaft,Source: Light novel,Premiered: Summer 2013,"Members: 599,118"
b'Kingdom 3rd Season',8.78,Episodes: 26,,"Studios: Pierrot Plus, Studio Signpost",Source: Manga,Premiered: Spring 2020,"Members: 64,083"
b'Cowboy Bebop',8.76,Episodes: 26,,Studios: Sunrise,Source: Original,Premiered: Spring 1998,"Members: 1,573,385"
b'Mushoku Tensei: Isekai Ittara Honki Dasu Part 2\nMushoku Tensei: Jobless Reincarnation',8.76,Episodes: 12,,Studios: Studio Bind,Source: Light novel,Premiered: Fall 2021,"Members: 533,374"
b'Odd Taxi',8.76,Episodes: 13,,"Studios: OLM, P.I.C.S.",Source: Original,Premiered: Spring 2021,"Members: 278,674"
b'Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen\nDescending Stories: Showa Genroku Rakugo Shinju',8.75,Episodes: 12,,Studios: Studio Deen,Source: Manga,Premiered: Winter 2017,"Members: 166,236"
b'Mushishi Zoku Shou 2nd Season',8.74,Episodes: 10,,Studios: Artland,Source: Manga,Premiered: Fall 2014,"Members: 232,160"
b'Hajime no Ippo\nFighting Spirit',8.74,Episodes: 75,,Studios: Madhouse,Source: Manga,Premiered: Fall 2000,"Members: 467,489"
b'Vinland Saga',8.73,Episodes: 24,,Studios: Wit Studio,Source: Manga,Premiered: Summer 2019,"Members: 1,048,911"
"b""Fate/stay night Movie: Heaven's Feel - III. Spring Song\nFate/stay night: Heaven's Feel - III. Spring Song""",8.72,Episodes: 1,,Studios: ufotable,Source: Visual novel,,"Members: 259,911"
b'Ashita no Joe 2\nRocky Joe 2',8.71,Episodes: 47,,Studios: Tokyo Movie Shinsha,Source: Manga,Premiered: Fall 1980,"Members: 40,174"
b'Mo Dao Zu Shi: Wanjie Pian',8.71,Episodes: 12,,Studios: B.CMAY PICTURES,Source: Web novel,,"Members: 52,148"
b'Mushishi Zoku Shou\nMUSHI-SHI -Next Passage-',8.71,Episodes: 10,,Studios: Artland,Source: Manga,Premiered: Spring 2014,"Members: 264,543"
b'Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen\nSamurai X: Trust and Betrayal',8.71,Episodes: 4,,Studios: Studio Deen,Source: Manga,,"Members: 253,580"
b'Code Geass: Hangyaku no Lelouch\nCode Geass: Lelouch of the Rebellion',8.70,Episodes: 25,,Studios: Sunrise,Source: Original,Premiered: Fall 2006,"Members: 1,944,664"
b'Jujutsu Kaisen (TV)',8.70,Episodes: 24,,Studios: MAPPA,Source: Manga,Premiered: Fall 2020,"Members: 1,750,801"
b'86 Part 2\n86 Eighty-Six',8.69,Episodes: 12,,Studios: A-1 Pictures,Source: Light novel,Premiered: Fall 2021,"Members: 260,564"
b'Great Teacher Onizuka',8.69,Episodes: 43,,Studios: Studio Pierrot,Source: Manga,Premiered: Summer 1999,"Members: 706,682"
b'Kimetsu no Yaiba Movie: Mugen Ressha-hen\nDemon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train',8.68,Episodes: 1,,Studios: ufotable,Source: Manga,,"Members: 1,070,657"
b'Made in Abyss',8.68,Episodes: 13,,Studios: Kinema Citrus,Source: Web manga,Premiered: Summer 2017,"Members: 1,101,409"
b'Made in Abyss Movie 3: Fukaki Tamashii no Reimei\nMade in Abyss: Dawn of the Deep Soul',8.68,Episodes: 1,,Studios: Kinema Citrus,Source: Web manga,,"Members: 311,039"
b'Mononoke Hime\nPrincess Mononoke',8.68,Episodes: 1,,Studios: Studio Ghibli,Source: Original,,"Members: 1,069,667"
b'Mushishi\nMushi-Shi',8.67,Episodes: 26,,Studios: Artland,Source: Manga,Premiered: Fall 2005,"Members: 725,375"
b'Shigatsu wa Kimi no Uso\nYour Lie in April',8.67,Episodes: 22,,Studios: A-1 Pictures,Source: Manga,Premiered: Fall 2014,"Members: 1,883,323"
b'Violet Evergarden',8.66,Episodes: 13,,Studios: Kyoto Animation,Source: Light novel,Premiered: Winter 2018,"Members: 1,456,624"
b'Hajime no Ippo: New Challenger\nFighting Spirit: New Challenger',8.66,Episodes: 26,,Studios: Madhouse,Source: Manga,Premiered: Winter 2009,"Members: 236,613"
"b""Howl no Ugoku Shiro\nHowl's Moving Castle""",8.66,Episodes: 1,,Studios: Studio Ghibli,Source: Novel,,"Members: 1,094,962"
b'Evangelion: 3.0+1.0 Thrice Upon a Time',8.65,Episodes: 1,,Studios: Khara,Source: Original,,"Members: 277,328"
b'Haikyuu!! Second Season\nHaikyu!! 2nd Season',8.65,Episodes: 25,,Studios: Production I.G,Source: Manga,Premiered: Fall 2015,"Members: 1,205,811"
b'Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen\nKaguya-sama: Love is War Season 2',8.65,Episodes: 12,,Studios: A-1 Pictures,Source: Manga,Premiered: Spring 2020,"Members: 1,019,650"
"b""Natsume Yuujinchou Shi\nNatsume's Book of Friends Season 4""",8.65,Episodes: 13,,Studios: Brain's Base,Source: Manga,Premiered: Winter 2012,"Members: 219,398"
b'Tengen Toppa Gurren Lagann\nGurren Lagann',8.64,Episodes: 27,,Studios: Gainax,Source: Original,Premiered: Spring 2007,"Members: 1,417,307"
"b""Natsume Yuujinchou Roku\nNatsume's Book of Friends Season 6""",8.63,Episodes: 11,,Studios: Shuka,Source: Manga,Premiered: Spring 2017,"Members: 161,025"
b'One Piece',8.63,Episodes: Unknown,,Studios: Toei Animation,Source: Manga,Premiered: Fall 1999,"Members: 1,812,486"
b'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai\nRascal Does Not Dream of a Dreaming Girl',8.63,Episodes: 1,,Studios: CloverWorks,Source: Light novel,,"Members: 562,280"
b'Death Note',8.63,Episodes: 37,,Studios: Madhouse,Source: Manga,Premiered: Fall 2006,"Members: 3,324,550"
b'Ping Pong the Animation',8.62,Episodes: 11,,Studios: Tatsunoko Production,Source: Manga,Premiered: Spring 2014,"Members: 333,824"
b'Shingeki no Kyojin Season 3\nAttack on Titan Season 3',8.62,Episodes: 12,,Studios: Wit Studio,Source: Manga,Premiered: Summer 2018,"Members: 1,886,009"
